,FLAG_TSUNAMI,YEAR,MONTH,FOCAL_DEPTH,EQ_PRIMARY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,avg_density,sum_density,density_deviation,max_density,HDI,HDI_pop_wgt,max_HDI,SoilDensity,Soil_pop_wgt,max_soil,dist_to_closest_pop,pop_dist_deviation,avg_pop_distance,eq_mag_unlogged,Years_Before_Data_Age,avg_diff,avg_pred,ct,actual
1110,0,2011,12.0,56.0,5.3,NEW ZEALAND,-41.364,174.315,170.0,10179.302,712551.1,31538.75119705669,207414.8,0.915,0.91499996,0.915,0.9540000132152516,0.5889597741065296,1.3400000333788,0.0610000000218569,0.393458572456209,0.9448552744133708,199526.2314968879,4,-0.07458983506352665,0.07458983506352665,1,0.0
1111,0,2012,1.0,8.0,5.3,IRAN,36.288,58.835,140.0,56564.78,3959534.8,67543.40850905265,242629.05,0.774,0.7739999,0.774,1.542000016144334,1.5850085867910475,1.8400000333786293,0.0957548954500301,0.2803922902131489,0.7870520157766031,199526.2314968879,3,-0.417564699652758,0.417564699652758,1,0.0
1112,0,2012,1.0,43.0,6.4,PERU,-14.168,-75.635,160.0,15430.383,1080126.8,31233.76361403933,147458.14,0.74,0.74000007,0.74,1.2821428401129609,1.3986887278386837,1.519999980926611,0.0441474801155694,0.3368850175812162,0.8466363316128181,2511886.4315095823,3,-0.9592184304983139,0.9592184304983139,4,0.0
1113,0,2012,2.0,10.0,5.2,IRAN,31.428,56.778,140.0,6310.6914,441748.4,7172.851730114709,24891.994,0.774,0.7739999,0.774,1.5830000196184408,1.596019203390421,1.7400000095368355,0.1105350623201853,0.2802353645909832,0.7871427687696363,158489.3192461114,3,-0.19381994212537448,0.19381994212537448,1,0.0
1114,0,2012,2.0,11.0,6.7,PHILIPPINES,9.999,123.206,170.0,192624.14,13483690.0,328846.4525613578,2673736.8,0.6424102,0.66419035,0.7386044,1.3462857110159978,1.413453500593003,1.539999961853468,0.1481114445113731,0.3062920209774495,0.809835685754503,5011872.336272725,3,0.5570867128092445,1.4429132871907555,2,2.0
1115,0,2012,2.0,28.0,5.9,TAIWAN,22.661,120.891,30.0,167077.81,11695447.0,430626.4427262842,2529373.5,0.8573146,0.8560887,0.94192165,1.3521428465842675,1.4714131887121955,1.5599999427796023,0.0393954311926925,0.4935893753297055,1.027202424556458,794328.2347242822,3,-0.2867500623767595,0.2867500623767595,2,0.0
1116,0,2012,3.0,18.0,5.8,PHILIPPINES,10.037,125.633,170.0,80160.56,5611239.5,81101.29339246897,356848.94,0.6035346,0.6190629,0.7466452,0.9217142888478094,0.9836369773808344,1.4800000190742502,0.0883628881421414,0.3738443267038583,0.9563333917856796,630957.344480193,3,-0.4636416029437887,0.4636416029437887,3,0.0
1117,0,2012,3.0,41.0,7.2,CHILE,-35.2,-72.217,160.0,22174.465,1552212.6,36224.909488291545,272021.38,0.7990573,0.7979698,0.8447554,1.3338571616581376,1.332800923203849,1.5000000000000309,0.1186970934850849,0.3652475443272236,0.9406512331082348,15848931.924611142,3,0.4564209426466954,0.5435790573533046,3,1.0
1118,0,2012,4.0,29.0,6.7,CHILE,-32.625,-71.365,160.0,141221.77,9885524.0,420158.9782950151,2506817.5,0.85249937,0.8829212,0.8919913,1.49057144437518,1.626157367976519,1.6599999666214416,0.0099999999930133,0.3646787518052501,0.9251111836742828,5011872.336272725,3,0.23992526536337894,0.760074734636621,2,1.0
1119,0,2012,5.0,10.0,4.1,BRAZIL,-16.764,-43.999,160.0,14710.268,1029718.75,40683.40965428487,321058.3,0.7601176,0.76011765,0.7601176,1.3232856988906787,1.3007410629177842,1.5199999809265368,0.1664241569037603,0.2806776920892689,0.7878766427037629,12589.254117941662,3,-0.3823827731159852,0.3823827731159852,3,0.0
